Name,Type,Syntax,Description,Link
DOLLARFR,Financial,"DOLLARFR(decimal_dollar, fraction)","Converts a dollar price, expressed as a decimal number, into a dollar price, expressed as a fraction",https://support.microsoft.com/en-us/office/dollarfr-function-0835d163-3023-4a33-9824-3042c5d4f495
DPRODUCT,Database,"DPRODUCT(database, field, criteria)",Multiplies the values in a particular field of records that match the criteria in a database,https://support.microsoft.com/en-us/office/dproduct-function-4f96b13e-d49c-47a7-b769-22f6d017cb31
DROP,Lookup and reference,"DROP(array, rows,[columns])",Excludes a specified number of rows or columns from the start or end of an array,https://support.microsoft.com/en-us/office/drop-function-1cb4e151-9e17-4838-abe5-9ba48d8c6a34
DSTDEV,Database,"DSTDEV(database, field, criteria)",Estimates the standard deviation based on a sample of selected database entries,https://support.microsoft.com/en-us/office/dstdev-function-026b8c73-616d-4b5e-b072-241871c4ab96
DSTDEVP,Database,"DSTDEVP(database, field, criteria)",Calculates the standard deviation based on the entire population of selected database entries,https://support.microsoft.com/en-us/office/dstdevp-function-04b78995-da03-4813-bbd9-d74fd0f5d94b
DSUM,Database,"DSUM(database, field, criteria)",Adds the numbers in the field column of records in the database that match the criteria,https://support.microsoft.com/en-us/office/dsum-function-53181285-0c4b-4f5a-aaa3-529a322be41b
DURATION,Financial,"DURATION(settlement, maturity, coupon, yld, frequency, [basis])",Returns the annual duration of a security with periodic interest payments,https://support.microsoft.com/en-us/office/duration-function-b254ea57-eadc-4602-a86a-c8e369334038
DVAR,Database,"DVAR(database, field, criteria)",Estimates variance based on a sample from selected database entries,https://support.microsoft.com/en-us/office/dvar-function-d6747ca9-99c7-48bb-996e-9d7af00f3ed1
DVARP,Database,"DVARP(database, field, criteria)",Calculates variance based on the entire population of selected database entries,https://support.microsoft.com/en-us/office/dvarp-function-eb0ba387-9cb7-45c8-81e9-0394912502fc
EDATE,Date and time,"EDATE(start_date, months)",Returns the serial number of the date that is the indicated number of months before or after the start date,https://support.microsoft.com/en-us/office/edate-function-3c920eb2-6e66-44e7-a1f5-753ae47ee4f5
EFFECT,Financial,"EFFECT(nominal_rate, npery)",Returns the effective annual interest rate,https://support.microsoft.com/en-us/office/effect-function-910d4e4c-79e2-4009-95e6-507e04f11bc4
ENCODEURL,Web,ENCODEURL(text),Returns a URL-encoded stringThis function is not available in Excel for the web.,https://support.microsoft.com/en-us/office/encodeurl-function-07c7fb90-7c60-4bff-8687-fac50fe33d0e
EOMONTH,Date and time,"EOMONTH(start_date, months)",Returns the serial number of the last day of the month before or after a specified number of months,https://support.microsoft.com/en-us/office/eomonth-function-7314ffa1-2bc9-4005-9d66-f49db127d628
ERF,Engineering,"ERF(lower_limit,[upper_limit])",Returns the error function,https://support.microsoft.com/en-us/office/erf-function-c53c7e7b-5482-4b6c-883e-56df3c9af349
ERF.PRECISE,Engineering,ERF.PRECISE(x),Returns the error function,https://support.microsoft.com/en-us/office/erf-precise-function-9a349593-705c-4278-9a98-e4122831a8e0
ERFC,Engineering,ERFC(x),Returns the complementary error function,https://support.microsoft.com/en-us/office/erfc-function-736e0318-70ba-4e8b-8d08-461fe68b71b3
ERFC.PRECISE,Engineering,ERFC.PRECISE(x),Returns the complementary ERF function integrated between x and infinity,https://support.microsoft.com/en-us/office/erfc-precise-function-e90e6bab-f45e-45df-b2ac-cd2eb4d4a273
ERROR.TYPE,Information,ERROR.TYPE(error_val),Returns a number corresponding to an error type,https://support.microsoft.com/en-us/office/error-type-function-10958677-7c8d-44f7-ae77-b9a9ee6eefaa
EUROCONVERT,Add-in and Automation,"EUROCONVERT(number,source,target,full_precision,triangulation_precision)","Converts a number to euros, converts a number from euros to a euro member currency, or converts a number from one euro member currency to another by using the euro as an intermediary (triangulation).",https://support.microsoft.com/en-us/office/euroconvert-function-79c8fd67-c665-450c-bb6c-15fc92f8345c
EVEN,Math and trigonometry,EVEN(number),Rounds a number up to the nearest even integer,https://support.microsoft.com/en-us/office/even-function-197b5f06-c795-4c1e-8696-3c3b8a646cf9
EXACT,Text,"EXACT(text1, text2)",Checks to see if two text values are identical,https://support.microsoft.com/en-us/office/exact-function-d3087698-fc15-4a15-9631-12575cf29926
EXP,Math and trigonometry,EXP(number),Returns *e* raised to the power of a given number,https://support.microsoft.com/en-us/office/exp-function-c578f034-2c45-4c37-bc8c-329660a63abe
EXPAND,Lookup and reference,"EXPAND(array, rows, [columns], [pad_with])",Expands or pads an array to specified row and column dimensions,https://support.microsoft.com/en-us/office/expand-function-7433fba5-4ad1-41da-a904-d5d95808bc38
EXPON.DIST,Statistical,"EXPON.DIST(x,lambda,cumulative)",Returns the exponential distribution,https://support.microsoft.com/en-us/office/expon-dist-function-4c12ae24-e563-4155-bf3e-8b78b6ae140e
EXPONDIST,Compatibility,"EXPONDIST(x,lambda,cumulative)",Returns the exponential distribution,https://support.microsoft.com/en-us/office/expondist-function-68ab45fd-cd6d-4887-9770-9357eb8ee06a
FACT,Math and trigonometry,FACT(number),Returns the factorial of a number,https://support.microsoft.com/en-us/office/fact-function-ca8588c2-15f2-41c0-8e8c-c11bd471a4f3
FACTDOUBLE,Math and trigonometry,FACTDOUBLE(number),Returns the double factorial of a number,https://support.microsoft.com/en-us/office/factdouble-function-e67697ac-d214-48eb-b7b7-cce2589ecac8
FALSE,Logical,FALSE(),Returns the logical value FALSE,https://support.microsoft.com/en-us/office/false-function-2d58dfa5-9c03-4259-bf8f-f0ae14346904
F.DIST,Statistical,"F.DIST(x,deg_freedom1,deg_freedom2,cumulative)",Returns the F probability distribution,https://support.microsoft.com/en-us/office/f-dist-function-a887efdc-7c8e-46cb-a74a-f884cd29b25d
FDIST,Compatibility,"FDIST(x,deg_freedom1,deg_freedom2)",Returns the F probability distribution,https://support.microsoft.com/en-us/office/fdist-function-ecf76fba-b3f1-4e7d-a57e-6a5b7460b786
F.DIST.RT,Statistical,"F.DIST.RT(x,deg_freedom1,deg_freedom2)",Returns the F probability distribution,https://support.microsoft.com/en-us/office/f-dist-rt-function-d74cbb00-6017-4ac9-b7d7-6049badc0520
FILTER,Lookup and reference,"FILTER(array,include,[if_empty])",Filters a range of data based on criteria you define,https://support.microsoft.com/en-us/office/filter-function-f4f7cb66-82eb-4767-8f7c-4877ad80c759
FILTERXML,Web,"FILTERXML(xml, xpath)",Returns specific data from the XML content by using the specified XPathThis function is not available in Excel for the web.,https://support.microsoft.com/en-us/office/filterxml-function-4df72efc-11ec-4951-86f5-c1374812f5b7
FIND,Text,"FIND(find_text, within_text, [start_num])",Finds one text value within another (case-sensitive),https://support.microsoft.com/en-us/office/find-findb-functions-c7912941-af2a-4bdf-a553-d0d89b0a0628
F.INV,Statistical,"F.INV(probability,deg_freedom1,deg_freedom2)",Returns the inverse of the F probability distribution,https://support.microsoft.com/en-us/office/f-inv-function-0dda0cf9-4ea0-42fd-8c3c-417a1ff30dbe
F.INV.RT,Statistical,"F.INV.RT(probability,deg_freedom1,deg_freedom2)",Returns the inverse of the F probability distribution,https://support.microsoft.com/en-us/office/f-inv-rt-function-d371aa8f-b0b1-40ef-9cc2-496f0693ac00
FINV,Compatibility,"FINV(probability,deg_freedom1,deg_freedom2)",Returns the inverse of the F probability distribution,https://support.microsoft.com/en-us/office/finv-function-4d46c97c-c368-4852-bc15-41e8e31140b1
FISHER,Statistical,FISHER(x),Returns the Fisher transformation,https://support.microsoft.com/en-us/office/fisher-function-d656523c-5076-4f95-b87b-7741bf236c69
FISHERINV,Statistical,FISHERINV(y),Returns the inverse of the Fisher transformation,https://support.microsoft.com/en-us/office/fisherinv-function-62504b39-415a-4284-a285-19c8e82f86bb
FIXED,Text,"FIXED(number, [decimals], [no_commas])",Formats a number as text with a fixed number of decimals,https://support.microsoft.com/en-us/office/fixed-function-ffd5723c-324c-45e9-8b96-e41be2a8274a
FLOOR,Compatibility,"FLOOR(number, significance)","Rounds a number down, toward zero",https://support.microsoft.com/en-us/office/floor-function-14bb497c-24f2-4e04-b327-b0b4de5a8886
FLOOR.MATH,Math and trigonometry,"FLOOR.MATH(number, significance, mode)","Rounds a number down, to the nearest integer or to the nearest multiple of significance",https://support.microsoft.com/en-us/office/floor-math-function-c302b599-fbdb-4177-ba19-2c2b1249a2f5
FLOOR.PRECISE,Math and trigonometry,"FLOOR.PRECISE(number, [significance])","Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up.",https://support.microsoft.com/en-us/office/floor-precise-function-f769b468-1452-4617-8dc3-02f842a0702e
FORECAST,Statistical,"FORECAST(x, known_y's, known_x's)","Returns a value along a linear trendThis function has been replaced with FORECAST.LINEAR as part of the new Forecasting functions, but it's still available for compatibility with earlier versions.",https://support.microsoft.com/en-us/office/forecast-and-forecast-linear-functions-50ca49c9-7b40-4892-94e4-7ad38bbeda99
FORECAST.ETS,Statistical,"FORECAST.ETS(target_date, values, timeline, [seasonality], [data_completion], [aggregation])",Returns a future value based on existing (historical) values by using the AAA version of the Exponential Smoothing (ETS) algorithm,https://support.microsoft.com/en-us/office/forecast-ets-function-15389b8b-677e-4fbd-bd95-21d464333f41
FORECAST.ETS.CONFINT,Statistical,"FORECAST.ETS.CONFINT(target_date, values, timeline, [confidence_level], [seasonality], [data_completion], [aggregation])",Returns a confidence interval for the forecast value at the specified target date,https://support.microsoft.com/en-us/office/forecasting-functions-reference-897a2fe9-6595-4680-a0b0-93e0308d5f6e#_FORECAST.ETS.CONFINT
FORECAST.ETS.SEASONALITY,Statistical,"FORECAST.ETS.SEASONALITY(values, timeline, [data_completion], [aggregation])",Returns the length of the repetitive pattern Excel detects for the specified time series,https://support.microsoft.com/en-us/office/forecasting-functions-reference-897a2fe9-6595-4680-a0b0-93e0308d5f6e#_FORECAST.ETS.SEASONALITY
FORECAST.ETS.STAT,Statistical,"FORECAST.ETS.STAT(values, timeline, statistic_type, [seasonality], [data_completion], [aggregation])",Returns a statistical value as a result of time series forecasting,https://support.microsoft.com/en-us/office/forecasting-functions-reference-897a2fe9-6595-4680-a0b0-93e0308d5f6e#_FORECAST.ETS.STAT
FORECAST.LINEAR,Statistical,"FORECAST.LINEAR(x, known_y's, known_x's)",Returns a future value based on existing values,https://support.microsoft.com/en-us/office/forecast-and-forecast-linear-functions-50ca49c9-7b40-4892-94e4-7ad38bbeda99
FORMULATEXT,Lookup and reference,FORMULATEXT(reference),Returns the formula at the given reference as text,https://support.microsoft.com/en-us/office/formulatext-function-0a786771-54fd-4ae2-96ee-09cda35439c8
FREQUENCY,Statistical,"FREQUENCY(data_array, bins_array)",Returns a frequency distribution as a vertical array,https://support.microsoft.com/en-us/office/frequency-function-44e3be2b-eca0-42cd-a3f7-fd9ea898fdb9
F.TEST,Statistical,"F.TEST(array1,array2)",Returns the result of an F-test,https://support.microsoft.com/en-us/office/f-test-function-100a59e7-4108-46f8-8443-78ffacb6c0a7
FTEST,Compatibility,"FTEST(array1,array2)",Returns the result of an F-test,https://support.microsoft.com/en-us/office/ftest-function-4c9e1202-53fe-428c-a737-976f6fc3f9fd
FV,Financial,"FV(rate,nper,pmt,[pv],[type])",Returns the future value of an investment,https://support.microsoft.com/en-us/office/fv-function-2eef9f44-a084-4c61-bdd8-4fe4bb1b71b3
FVSCHEDULE,Financial,"FVSCHEDULE(principal, schedule)",Returns the future value of an initial principal after applying a series of compound interest rates,https://support.microsoft.com/en-us/office/fvschedule-function-bec29522-bd87-4082-bab9-a241f3fb251d
GAMMA,Statistical,GAMMA(number),Returns the Gamma function value,https://support.microsoft.com/en-us/office/gamma-function-ce1702b1-cf55-471d-8307-f83be0fc5297
GAMMA.DIST,Statistical,"GAMMA.DIST(x,alpha,beta,cumulative)",Returns the gamma distribution,https://support.microsoft.com/en-us/office/gamma-dist-function-9b6f1538-d11c-4d5f-8966-21f6a2201def
GAMMADIST,Compatibility,"GAMMADIST(x,alpha,beta,cumulative)",Returns the gamma distribution,https://support.microsoft.com/en-us/office/gammadist-function-7327c94d-0f05-4511-83df-1dd7ed23e19e
GAMMA.INV,Statistical,"GAMMA.INV(probability,alpha,beta)",Returns the inverse of the gamma cumulative distribution,https://support.microsoft.com/en-us/office/gamma-inv-function-74991443-c2b0-4be5-aaab-1aa4d71fbb18
GAMMAINV,Compatibility,"GAMMAINV(probability,alpha,beta)",Returns the inverse of the gamma cumulative distribution,https://support.microsoft.com/en-us/office/gammainv-function-06393558-37ab-47d0-aa63-432f99e7916d
GAMMALN,Statistical,GAMMALN(x),"Returns the natural logarithm of the gamma function, Γ(x)",https://support.microsoft.com/en-us/office/gammaln-function-b838c48b-c65f-484f-9e1d-141c55470eb9
GAMMALN.PRECISE,Statistical,GAMMALN.PRECISE(x),"Returns the natural logarithm of the gamma function, Γ(x)",https://support.microsoft.com/en-us/office/gammaln-precise-function-5cdfe601-4e1e-4189-9d74-241ef1caa599
GAUSS,Statistical,GAUSS(z),Returns 0.5 less than the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/gauss-function-069f1b4e-7dee-4d6a-a71f-4b69044a6b33
GCD,Math and trigonometry,"GCD(number1, [number2], ...)",Returns the greatest common divisor,https://support.microsoft.com/en-us/office/gcd-function-d5107a51-69e3-461f-8e4c-ddfc21b5073a
GEOMEAN,Statistical,"GEOMEAN(number1, [number2], ...)",Returns the geometric mean,https://support.microsoft.com/en-us/office/geomean-function-db1ac48d-25a5-40a0-ab83-0b38980e40d5
GESTEP,Engineering,"GESTEP(number, [step])",Tests whether a number is greater than a threshold value,https://support.microsoft.com/en-us/office/gestep-function-f37e7d2a-41da-4129-be95-640883fca9df
GETPIVOTDATA,Lookup and reference,"GETPIVOTDATA(data_field, pivot_table, [field1, item1, field2, item2], ...)",Returns data stored in a PivotTable report,https://support.microsoft.com/en-us/office/getpivotdata-function-8c083b99-a922-4ca0-af5e-3af55960761f
GROWTH,Statistical,"GROWTH(known_y's, [known_x's], [new_x's], [const])",Returns values along an exponential trend,https://support.microsoft.com/en-us/office/growth-function-541a91dc-3d5e-437d-b156-21324e68b80d
HARMEAN,Statistical,"HARMEAN(number1, [number2], ...)",Returns the harmonic mean,https://support.microsoft.com/en-us/office/harmean-function-5efd9184-fab5-42f9-b1d3-57883a1d3bc6
HEX2BIN,Engineering,"HEX2BIN(number, [places])",Converts a hexadecimal number to binary,https://support.microsoft.com/en-us/office/hex2bin-function-a13aafaa-5737-4920-8424-643e581828c1
HEX2DEC,Engineering,HEX2DEC(number),Converts a hexadecimal number to decimal,https://support.microsoft.com/en-us/office/hex2dec-function-8c8c3155-9f37-45a5-a3ee-ee5379ef106e
HEX2OCT,Engineering,"HEX2OCT(number, [places])",Converts a hexadecimal number to octal,https://support.microsoft.com/en-us/office/hex2oct-function-54d52808-5d19-4bd0-8a63-1096a5d11912
HLOOKUP,Lookup and reference,"HLOOKUP(lookup_value, table_array, row_index_num, [range_lookup])",Looks in the top row of an array and returns the value of the indicated cell,https://support.microsoft.com/en-us/office/hlookup-function-a3034eec-b719-4ba3-bb65-e1ad662ed95f
HOUR,Date and time,HOUR(serial_number),Converts a serial number to an hour,https://support.microsoft.com/en-us/office/hour-function-a3afa879-86cb-4339-b1b5-2dd2d7310ac7
HSTACK,Lookup and reference,"HSTACK(array1,[array2],...)",Appends arrays horizontally and in sequence to return a larger array,https://support.microsoft.com/en-us/office/hstack-function-98c4ab76-10fe-4b4f-8d5f-af1c125fe8c2
HYPERLINK,Lookup and reference,"HYPERLINK(link_location, [friendly_name])","Creates a shortcut or jump that opens a document stored on a network server, an intranet, or the Internet",https://support.microsoft.com/en-us/office/hyperlink-function-333c7ce6-c5ae-4164-9c47-7de9b76f577f
HYPGEOM.DIST,Statistical,"HYPGEOM.DIST(sample_s,number_sample,population_s,number_pop,cumulative)",Returns the hypergeometric distribution,https://support.microsoft.com/en-us/office/hypgeom-dist-function-6dbd547f-1d12-4b1f-8ae5-b0d9e3d22fbf
HYPGEOMDIST,Compatibility,"HYPGEOMDIST(sample_s,number_sample,population_s,number_pop)",Returns the hypergeometric distribution,https://support.microsoft.com/en-us/office/hypgeomdist-function-23e37961-2871-4195-9629-d0b2c108a12e
IF,Logical,"IF(logical_test, value_if_true, [value_if_false])",Specifies a logical test to perform,https://support.microsoft.com/en-us/office/if-function-69aed7c9-4e8a-4755-a9bc-aa8bbff73be2
IFERROR,Logical,"IFERROR(value, value_if_error)","Returns a value you specify if a formula evaluates to an error; otherwise, returns the result of the formula",https://support.microsoft.com/en-us/office/iferror-function-c526fd07-caeb-47b8-8bb6-63f3e417f611
IFNA,Logical,"IFNA(value, value_if_na)","Returns the value you specify if the expression resolves to #N/A, otherwise returns the result of the expression",https://support.microsoft.com/en-us/office/ifna-function-6626c961-a569-42fc-a49d-79b4951fd461
IFS,Logical,"IFS(logical_test1, value_if_true1, [logical_test2, value_if_true2], [logical_test3, value_if_true3],…)",Checks whether one or more conditions are met and returns a value that corresponds to the first TRUE condition.,https://support.microsoft.com/en-us/office/ifs-function-36329a26-37b2-467c-972b-4a39bd951d45
IMABS,Engineering,IMABS(inumber),Returns the absolute value (modulus) of a complex number,https://support.microsoft.com/en-us/office/imabs-function-b31e73c6-d90c-4062-90bc-8eb351d765a1
IMAGE,Lookup and reference,"IMAGE(source, [alt_text], [sizing], [height], [width])",Returns an image from a given source,https://support.microsoft.com/en-us/office/image-function-7e112975-5e52-4f2a-b9da-1d913d51f5d5
IMAGINARY,Engineering,IMAGINARY(inumber),Returns the imaginary coefficient of a complex number,https://support.microsoft.com/en-us/office/imaginary-function-dd5952fd-473d-44d9-95a1-9a17b23e428a
IMARGUMENT,Engineering,IMARGUMENT(inumber),"Returns the argument theta, an angle expressed in radians",https://support.microsoft.com/en-us/office/imargument-function-eed37ec1-23b3-4f59-b9f3-d340358a034a
IMCONJUGATE,Engineering,IMCONJUGATE(inumber),Returns the complex conjugate of a complex number,https://support.microsoft.com/en-us/office/imconjugate-function-2e2fc1ea-f32b-4f9b-9de6-233853bafd42
IMCOS,Engineering,IMCOS(inumber),Returns the cosine of a complex number,https://support.microsoft.com/en-us/office/imcos-function-dad75277-f592-4a6b-ad6c-be93a808a53c
IMCOSH,Engineering,IMCOSH(inumber),Returns the hyperbolic cosine of a complex number,https://support.microsoft.com/en-us/office/imcosh-function-053e4ddb-4122-458b-be9a-457c405e90ff
IMCOT,Engineering,IMCOT(inumber),Returns the cotangent of a complex number,https://support.microsoft.com/en-us/office/imcot-function-dc6a3607-d26a-4d06-8b41-8931da36442c
IMCSC,Engineering,IMCSC(inumber),Returns the cosecant of a complex number,https://support.microsoft.com/en-us/office/imcsc-function-9e158d8f-2ddf-46cd-9b1d-98e29904a323
IMCSCH,Engineering,IMCSCH(inumber),Returns the hyperbolic cosecant of a complex number,https://support.microsoft.com/en-us/office/imcsch-function-c0ae4f54-5f09-4fef-8da0-dc33ea2c5ca9
IMDIV,Engineering,"IMDIV(inumber1, inumber2)",Returns the quotient of two complex numbers,https://support.microsoft.com/en-us/office/imdiv-function-a505aff7-af8a-4451-8142-77ec3d74d83f
IMEXP,Engineering,IMEXP(inumber),Returns the exponential of a complex number,https://support.microsoft.com/en-us/office/imexp-function-c6f8da1f-e024-4c0c-b802-a60e7147a95f
IMLN,Engineering,IMLN(inumber),Returns the natural logarithm of a complex number,https://support.microsoft.com/en-us/office/imln-function-32b98bcf-8b81-437c-a636-6fb3aad509d8
IMLOG10,Engineering,IMLOG10(inumber),Returns the base-10 logarithm of a complex number,https://support.microsoft.com/en-us/office/imlog10-function-58200fca-e2a2-4271-8a98-ccd4360213a5
IMLOG2,Engineering,IMLOG2(inumber),Returns the base-2 logarithm of a complex number,https://support.microsoft.com/en-us/office/imlog2-function-152e13b4-bc79-486c-a243-e6a676878c51
IMPOWER,Engineering,"IMPOWER(inumber, number)",Returns a complex number raised to an integer power,https://support.microsoft.com/en-us/office/impower-function-210fd2f5-f8ff-4c6a-9d60-30e34fbdef39
IMPRODUCT,Engineering,"IMPRODUCT(inumber1, [inumber2], ...)",Returns the product of complex numbers,https://support.microsoft.com/en-us/office/improduct-function-2fb8651a-a4f2-444f-975e-8ba7aab3a5ba
IMREAL,Engineering,IMREAL(inumber),Returns the real coefficient of a complex number,https://support.microsoft.com/en-us/office/imreal-function-d12bc4c0-25d0-4bb3-a25f-ece1938bf366
IMSEC,Engineering,IMSEC(inumber),Returns the secant of a complex number,https://support.microsoft.com/en-us/office/imsec-function-6df11132-4411-4df4-a3dc-1f17372459e0
IMSECH,Engineering,IMSECH(inumber),Returns the hyperbolic secant of a complex number,https://support.microsoft.com/en-us/office/imsech-function-f250304f-788b-4505-954e-eb01fa50903b
IMSIN,Engineering,IMSIN(inumber),Returns the sine of a complex number,https://support.microsoft.com/en-us/office/imsin-function-1ab02a39-a721-48de-82ef-f52bf37859f6
IMSINH,Engineering,IMSINH(inumber),Returns the hyperbolic sine of a complex number,https://support.microsoft.com/en-us/office/imsinh-function-dfb9ec9e-8783-4985-8c42-b028e9e8da3d
IMSQRT,Engineering,IMSQRT(inumber),Returns the square root of a complex number,https://support.microsoft.com/en-us/office/imsqrt-function-e1753f80-ba11-4664-a10e-e17368396b70
IMSUB,Engineering,"IMSUB(inumber1, inumber2)",Returns the difference between two complex numbers,https://support.microsoft.com/en-us/office/imsub-function-2e404b4d-4935-4e85-9f52-cb08b9a45054
IMSUM,Engineering,"IMSUM(inumber1, [inumber2], ...)",Returns the sum of complex numbers,https://support.microsoft.com/en-us/office/imsum-function-81542999-5f1c-4da6-9ffe-f1d7aaa9457f
IMTAN,Engineering,IMTAN(inumber),Returns the tangent of a complex number,https://support.microsoft.com/en-us/office/imtan-function-8478f45d-610a-43cf-8544-9fc0b553a132
INDEX,Lookup and reference,"INDEX(array, row_num, [column_num])",Uses an index to choose a value from a reference or array,https://support.microsoft.com/en-us/office/index-function-a5dcf0dd-996d-40a4-a822-b56b061328bd
INDIRECT,Lookup and reference,"INDIRECT(ref_text, [a1])",Returns a reference indicated by a text value,https://support.microsoft.com/en-us/office/indirect-function-474b3a3a-8a26-4f44-b491-92b6306fa261
INFO,Information,INFO(type_text),Returns information about the current operating environmentThis function is not available in Excel for the web.,https://support.microsoft.com/en-us/office/info-function-725f259a-0e4b-49b3-8b52-58815c69acae
INT,Math and trigonometry,INT(number),Rounds a number down to the nearest integer,https://support.microsoft.com/en-us/office/int-function-a6c4af9e-356d-4369-ab6a-cb1fd9d343ef
INTERCEPT,Statistical,"INTERCEPT(known_y's, known_x's)",Returns the intercept of the linear regression line,https://support.microsoft.com/en-us/office/intercept-function-2a9b74e2-9d47-4772-b663-3bca70bf63ef
INTRATE,Financial,"INTRATE(settlement, maturity, investment, redemption, [basis])",Returns the interest rate for a fully invested security,https://support.microsoft.com/en-us/office/intrate-function-5cb34dde-a221-4cb6-b3eb-0b9e55e1316f
IPMT,Financial,"IPMT(rate, per, nper, pv, [fv], [type])",Returns the interest payment for an investment for a given period,https://support.microsoft.com/en-us/office/ipmt-function-5cce0ad6-8402-4a41-8d29-61a0b054cb6f
IRR,Financial,"IRR(values, [guess])",Returns the internal rate of return for a series of cash flows,https://support.microsoft.com/en-us/office/irr-function-64925eaa-9988-495b-b290-3ad0c163c1bc
ISBLANK,Information,ISBLANK(value),Returns TRUE if the value is blank,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISERR,Information,ISERR(value),Returns TRUE if the value is any error value except #N/A,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISERROR,Information,ISERROR(value),Returns TRUE if the value is any error value,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISEVEN,Information,ISEVEN(number),Returns TRUE if the number is even,https://support.microsoft.com/en-us/office/iseven-function-aa15929a-d77b-4fbb-92f4-2f479af55356
ISFORMULA,Information,ISFORMULA(reference),Returns TRUE if there is a reference to a cell that contains a formula,https://support.microsoft.com/en-us/office/isformula-function-e4d1355f-7121-4ef2-801e-3839bfd6b1e5
ISLOGICAL,Information,ISLOGICAL(value),Returns TRUE if the value is a logical value,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISNA,Information,ISNA(value),Returns TRUE if the value is the #N/A error value,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISNONTEXT,Information,ISNONTEXT(value),Returns TRUE if the value is not text,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISNUMBER,Information,ISNUMBER(value),Returns TRUE if the value is a number,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISODD,Information,ISODD(value),Returns TRUE if the number is odd,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISOMITTED,Information,ISOMITTED(argument),Checks whether the value in a LAMBDA is missing and returns TRUE or FALSE,https://support.microsoft.com/en-us/office/isomitted-function-831d6fbc-0f07-40c4-9c5b-9c73fd1d60c1
ISREF,Information,ISREF(value),Returns TRUE if the value is a reference,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISTEXT,Information,ISTEXT(value),Returns TRUE if the value is text,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665
ISO.CEILING,Math and trigonometry,"ISO.CEILING(number, [significance])",Returns a number that is rounded up to the nearest integer or to the nearest multiple of significance,https://support.microsoft.com/en-us/office/iso-ceiling-function-e587bb73-6cc2-4113-b664-ff5b09859a83
ISOWEEKNUM,Date and time,ISOWEEKNUM(date),Returns the number of the ISO week number of the year for a given date,https://support.microsoft.com/en-us/office/isoweeknum-function-1c2d0afe-d25b-4ab1-8894-8d0520e90e0e
ISPMT,Financial,"ISPMT(rate, per, nper, pv)",Calculates the interest paid during a specific period of an investment,https://support.microsoft.com/en-us/office/ispmt-function-fa58adb6-9d39-4ce0-8f43-75399cea56cc
JIS,Text,JIS(text),Changes half-width (single-byte) characters within a string to full-width (double-byte) characters,https://support.microsoft.com/en-us/office/jis-function-b72fb1a7-ba52-448a-b7d3-d2610868b7e2
KURT,Statistical,"KURT(number1, [number2], ...)",Returns the kurtosis of a data set,https://support.microsoft.com/en-us/office/kurt-function-bc3a265c-5da4-4dcb-b7fd-c237789095ab
LAMBDA,Logical,"LAMBDA([parameter1, parameter2, …,] calculation)    ","Create custom, reusable functions and call them by a friendly name",https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67
LARGE,Statistical,"LARGE(array, k)",Returns the k-th largest value in a data set,https://support.microsoft.com/en-us/office/large-function-3af0af19-1190-42bb-bb8b-01672ec00a64
LCM,Math and trigonometry,"LCM(number1, [number2], ...)",Returns the least common multiple,https://support.microsoft.com/en-us/office/lcm-function-7152b67a-8bb5-4075-ae5c-06ede5563c94
LEFT,Text,"LEFT(text, [num_chars])","LEFT returns the first character or characters in a text string, based on the number of characters you specify.",https://support.microsoft.com/en-us/office/left-leftb-functions-9203d2d2-7960-479b-84c6-1ea52b99640c
LEFTB,Text,"LEFTB(text, [num_bytes])","LEFTB returns the first character or characters in a text string, based on the number of bytes you specify.",https://support.microsoft.com/en-us/office/left-leftb-functions-9203d2d2-7960-479b-84c6-1ea52b99640c
LEN,Text,LEN(text),LEN returns the number of characters in a text string.,https://support.microsoft.com/en-us/office/len-lenb-functions-29236f94-cedc-429d-affd-b5e33d2c67cb
LENB,Text,LENB(text),LENB returns the number of bytes used to represent the characters in a text string. ,https://support.microsoft.com/en-us/office/len-lenb-functions-29236f94-cedc-429d-affd-b5e33d2c67cb
LET,Logical,"LET(name1, name_value1, calculation_or_name2, [name_value2, calculation_or_name3...])",Assigns names to calculation results,https://support.microsoft.com/en-us/office/let-function-34842dd8-b92b-4d3f-b325-b8b8f9908999
